Adawaty Master Tools Database v1.0
Part 1 — PDF Tools (001–100)

Category: PDF


| #   | English               | Arabic                | Slug                  |
099	cURL Generator	مولد cURL	curl-generator
100	Internet Toolkit	مجموعة أدوات الإنترنت	internet-toolkit
⭐ أدوات إضافية أنصح بإضافتها (غير موجودة مجتمعة عند المنافسين)

هذه الأدوات ستكون نقطة قوة لـ Adawaty:

☁️ Cloud
AWS ARN Decoder
AWS Policy Simulator
Azure Resource ID Parser
GCP IAM Policy Viewer
Kubernetes YAML Validator
Docker Compose Validator
🌍 CDN
Cloudflare Header Analyzer
Cloudflare Cache Checker
CDN Detector
WAF Detector
🔐 Security
CSP Generator
CSP Validator
CORS Tester
CORS Header Generator
Security Headers Analyzer
JWT Playground
JWT Signature Tester
OAuth Playground
OpenID Playground

Adawaty Master Tools Database v1.0
Part 12 — SEO & Webmaster Tools (001–100)

Category: SEO

🔍 Meta Tags
#	English	العربية	Slug
001	Meta Tag Generator	مولد Meta Tags	meta-generator
002	Meta Tag Analyzer	تحليل Meta Tags	meta-analyzer
003	Title Tag Checker	فحص Title	title-checker
004	Meta Description Checker	فحص Description	description-checker
005	Meta Keywords Viewer	عرض Keywords	meta-keywords
006	Open Graph Generator	مولد Open Graph	open-graph
007	Open Graph Validator	التحقق من Open Graph	open-graph-validator
008	Twitter Card Generator	مولد Twitter Card	twitter-card
009	Twitter Card Validator	فحص Twitter Card	twitter-card-validator
010	Social Preview	معاينة المشاركة	social-preview
📄 Structured Data
#	English	العربية	Slug
011	Schema Generator	مولد Schema	schema-generator
012	Schema Validator	التحقق من Schema	schema-validator
013	JSON-LD Generator	مولد JSON-LD	jsonld-generator
014	Breadcrumb Schema	Schema للمسارات	breadcrumb-schema
015	FAQ Schema	FAQ Schema	faq-schema
016	Article Schema	Article Schema	article-schema
017	Product Schema	Product Schema	product-schema
018	Organization Schema	Organization Schema	organization-schema
019	Local Business Schema	Local Business	local-schema
020	Event Schema	Event Schema	event-schema
🔗 URL Analysis
#	English	العربية	Slug
021	SEO Friendly URL Checker	فحص URL	seo-url
022	Slug Generator	مولد Slug	slug-generator
023	Canonical URL Checker	فحص Canonical	canonical-url
024	Redirect Chain Checker	سلسلة Redirect	redirect-chain
025	Broken Link Checker	فحص الروابط المكسورة	broken-links
026	Internal Link Analyzer	تحليل الروابط الداخلية	internal-links
027	External Link Analyzer	تحليل الروابط الخارجية	external-links
028	NoFollow Checker	فحص NoFollow	nofollow-checker
029	Robots Meta Checker	فحص Robots Meta	robots-meta
030	URL Length Checker	طول الرابط	url-length
🤖 Crawling
#	English	العربية	Slug
031	robots.txt Generator	مولد robots.txt	robots-generator
032	robots.txt Tester	اختبار robots.txt	robots-tester
033	Sitemap Generator	مولد Sitemap	sitemap-generator
034	Sitemap Validator	التحقق من Sitemap	sitemap-validator
035	XML Sitemap Viewer	عرض Sitemap	sitemap-viewer
036	HTML Sitemap Generator	HTML Sitemap	html-sitemap
037	Crawlability Checker	فحص الزحف	crawlability
038	Indexability Checker	فحص الأرشفة	indexability
039	Orphan Pages Detector	كشف الصفحات اليتيمة	orphan-pages
040	Pagination Checker	فحص Pagination	pagination-checker
⚡ Performance
#	English	العربية	Slug
041	Core Web Vitals Checker	فحص Core Web Vitals	core-web-vitals
042	CLS Calculator	قياس CLS	cls-calculator
043	LCP Checker	قياس LCP	lcp-checker
044	FID/INP Checker	قياس INP	inp-checker
045	TTFB Checker	قياس TTFB	seo-ttfb
046	Resource Size Analyzer	تحليل الموارد	resource-size
047	Image SEO Checker	فحص صور SEO	image-seo
048	Lazy Load Checker	فحص Lazy Loading	lazy-load
049	Critical CSS Checker	فحص Critical CSS	critical-css
050	Page Weight Analyzer	تحليل حجم الصفحة	page-weight
📝 Content SEO
#	English	العربية	Slug
051	Word Counter	عداد الكلمات	word-counter
052	Character Counter	عداد الأحرف	character-counter
053	Reading Time Calculator	وقت القراءة	reading-time
054	Keyword Density Checker	كثافة الكلمات المفتاحية	keyword-density
055	Heading Structure Checker	فحص H1-H6	heading-checker
056	Duplicate Content Checker	كشف المحتوى المكرر	duplicate-content
057	Readability Checker	تحليل سهولة القراءة	readability
058	Passive Voice Checker	كشف Passive Voice	passive-voice
059	Alt Text Checker	فحص Alt Text	alt-checker
060	Anchor Text Analyzer	تحليل Anchor Text	anchor-text
🌍 International SEO
#	English	العربية	Slug
061	hreflang Generator	مولد hreflang	hreflang-generator
062	hreflang Validator	التحقق من hreflang	hreflang-validator
063	Language Meta Checker	فحص لغة الصفحة	language-meta
064	Country Target Checker	فحص الاستهداف الجغرافي	country-target
065	RTL/LTR Validator	فحص RTL/LTR	rtl-ltr
066	Unicode SEO Checker	فحص Unicode	unicode-seo
067	Punycode SEO Checker	فحص Punycode	punycode-seo
068	International URL Checker	فحص الروابط الدولية	international-url
069	Locale Generator	مولد Locale	locale-generator
070	Geo Meta Generator	مولد Geo Meta	geo-meta
📱 Mobile SEO
#	English	العربية	Slug
071	Viewport Checker	فحص Viewport	viewport-checker
072	Mobile Friendly Checker	فحص توافق الجوال	mobile-friendly
073	Touch Target Checker	فحص عناصر اللمس	touch-target
074	Responsive Preview	معاينة Responsive	responsive-preview
075	AMP Validator	التحقق من AMP	amp-validator
076	PWA Checker	فحص PWA	pwa-checker
077	Manifest Validator	التحقق من Manifest	manifest-validator
078	Icon Checker	فحص الأيقونات	icon-checker
079	Apple Touch Icon Checker	فحص Apple Icons	apple-touch-icon
080	Splash Screen Checker	فحص Splash Screen	splash-screen
📈 Misc SEO
#	English	العربية	Slug
081	Google Cache Checker	فحص Google Cache	google-cache
082	Google Index Checker	فحص الأرشفة	google-index
083	SERP Snippet Preview	معاينة نتائج البحث	serp-preview
084	Search Preview Mobile	معاينة الجوال	mobile-serp
085	Search Preview Desktop	معاينة الكمبيوتر	desktop-serp
086	HTTP Status Checker	فحص HTTP Status	seo-http-status
087	Redirect Validator	فحص Redirect	redirect-validator
088	Canonical Generator	مولد Canonical	canonical-generator
089	SEO Report Generator	تقرير SEO	seo-report
090	Technical SEO Audit	تدقيق SEO	technical-seo
091	Broken Image Checker	كشف الصور المكسورة	broken-images
092	Favicon Checker	فحص Favicon	favicon-checker
093	Link Extractor	استخراج الروابط	link-extractor
094	Email Extractor	استخراج البريد الإلكتروني	email-extractor
095	Phone Extractor	استخراج أرقام الهاتف	phone-extractor
096	Social Links Extractor	استخراج روابط التواصل	social-links
097	Heading Extractor	استخراج العناوين	heading-extractor
098	Meta Extractor	استخراج Meta Tags	meta-extractor
099	SEO Toolkit	مجموعة أدوات SEO	seo-toolkit
100	Website Audit Toolkit	مجموعة تدقيق المواقع	website-audit
💡 أدوات متقدمة أنصح بإضافتها مستقبلًا

إذا أردت أن ينافس Adawaty أدوات مثل Ahrefs وSemrush في الجانب المجاني، فهذه الأدوات ستكون مميزة:

AI SEO
AI Meta Title Generator
AI Meta Description Generator
AI Keyword Clustering
AI Content Brief Generator
AI Internal Linking Suggestions
AI Schema Generator
AI FAQ Generator
AI Alt Text Generator
AI Slug Generator
AI SEO Score Analyzer
Technical SEO
Crawl Simulator
JavaScript SEO Tester
Rendered HTML Viewer
HTTP/2 & HTTP/3 Checker
Preload / Prefetch Analyzer
CSP Impact Checker
Structured Data Diff
Lighthouse Report Parser
Sitemap Difference Checker
Redirect Loop Detector


Adawaty Master Tools Database v1.0
Part 13 — Text & Document Tools (001–100)

Category: Text

📝 Text Formatting
#	English	العربية	Slug
001	Text Formatter	تنسيق النص	text-formatter
002	Text Cleaner	تنظيف النص	text-cleaner
003	Remove Extra Spaces	إزالة المسافات الزائدة	remove-extra-spaces
004	Trim Text	حذف المسافات من البداية والنهاية	trim-text
005	Normalize Line Breaks	توحيد الأسطر	normalize-lines
006	Remove Empty Lines	حذف الأسطر الفارغة	remove-empty-lines
007	Remove Duplicate Lines	حذف الأسطر المكررة	remove-duplicate-lines
008	Sort Lines A-Z	ترتيب الأسطر A-Z	sort-lines-asc
009	Sort Lines Z-A	ترتيب الأسطر Z-A	sort-lines-desc
010	Shuffle Lines	خلط الأسطر عشوائيًا	shuffle-lines
🔠 Case Conversion
#	English	العربية	Slug
011	UPPERCASE	تحويل إلى أحرف كبيرة	uppercase
012	lowercase	تحويل إلى أحرف صغيرة	lowercase
013	Title Case	أول حرف كبير	title-case
014	Sentence Case	تنسيق الجمل	sentence-case
015	Capitalize Words	تكبير أول حرف لكل كلمة	capitalize
016	Toggle Case	عكس حالة الأحرف	toggle-case
017	camelCase Converter	camelCase	camelcase
018	PascalCase Converter	PascalCase	pascalcase
019	snake_case Converter	snake_case	snake-case
020	kebab-case Converter	kebab-case	kebab-case
📊 Counters
#	English	العربية	Slug
021	Word Counter	عداد الكلمات	word-counter
022	Character Counter	عداد الأحرف	character-counter
023	Character Counter (No Spaces)	عدد الأحرف بدون مسافات	char-no-spaces
024	Paragraph Counter	عداد الفقرات	paragraph-counter
025	Sentence Counter	عداد الجمل	sentence-counter
026	Line Counter	عداد الأسطر	line-counter
027	Reading Time Calculator	حساب وقت القراءة	reading-time
028	Speaking Time Calculator	وقت الإلقاء	speaking-time
029	Average Word Length	متوسط طول الكلمات	avg-word-length
030	Lexical Density Calculator	كثافة المفردات	lexical-density
🔎 Find & Replace
#	English	العربية	Slug
031	Find & Replace	بحث واستبدال	find-replace
032	Regex Find & Replace	بحث واستبدال Regex	regex-replace
033	Remove Duplicate Words	حذف الكلمات المكررة	duplicate-words
034	Remove Duplicate Sentences	حذف الجمل المكررة	duplicate-sentences
035	Find Repeated Characters	كشف الأحرف المكررة	duplicate-chars
036	Remove Numbers	حذف الأرقام	remove-numbers
037	Remove Letters	حذف الحروف	remove-letters
038	Remove Punctuation	حذف علامات الترقيم	remove-punctuation
039	Remove Emojis	حذف الإيموجي	remove-emojis
040	Remove HTML Tags	حذف HTML	remove-html
📄 Lists
#	English	العربية	Slug
041	Text to List	تحويل إلى قائمة	text-list
042	List to Text	تحويل القائمة إلى نص	list-text
043	CSV to List	CSV إلى قائمة	csv-list
044	List to CSV	قائمة إلى CSV	list-csv
045	Unique List Generator	حذف التكرار من القائمة	unique-list
046	Random List Picker	اختيار عنصر عشوائي	random-list
047	Alphabetize List	ترتيب أبجدي	alphabetize
048	Numbered List Generator	قائمة مرقمة	numbered-list
049	Bullet List Generator	قائمة نقطية	bullet-list
050	Checklist Generator	إنشاء Checklist	checklist-generator
✨ Text Utilities
#	English	العربية	Slug
051	Reverse Text	عكس النص	reverse-text
052	Reverse Words	عكس الكلمات	reverse-words
053	Mirror Text	نص مرآة	mirror-text
054	Upside Down Text	نص مقلوب	upside-down
055	Zalgo Text Generator	نص Zalgo	zalgo-text
056	Fancy Text Generator	مولد النصوص المزخرفة	fancy-text
057	Small Caps Generator	Small Caps	small-caps
058	Unicode Font Generator	خطوط Unicode	unicode-font
059	Superscript Generator	Superscript	superscript
060	Subscript Generator	Subscript	subscript
🌍 Encoding
#	English	العربية	Slug
061	ASCII Converter	محول ASCII	ascii-converter
062	Unicode Converter	محول Unicode	unicode-converter
063	Unicode Escape	Unicode Escape	unicode-escape
064	HTML Entity Encoder	HTML Entity	html-entity
065	HTML Entity Decoder	فك HTML Entity	html-entity-decoder
066	URL Encoder	ترميز URL	url-encode-text
067	URL Decoder	فك URL	url-decode-text
068	Base64 Text Encoder	Base64 للنصوص	base64-text
069	Base64 Text Decoder	فك Base64	base64-text-decode
070	ROT13 Encoder	ترميز ROT13	rot13
📚 Markdown
#	English	العربية	Slug
071	Markdown Editor	محرر Markdown	markdown-editor
072	Markdown Preview	معاينة Markdown	markdown-preview
073	Markdown Formatter	تنسيق Markdown	markdown-format
074	Markdown to HTML	Markdown إلى HTML	markdown-html
075	HTML to Markdown	HTML إلى Markdown	html-markdown
076	Markdown Table Generator	مولد جداول Markdown	markdown-table
077	Markdown TOC Generator	مولد جدول المحتويات	markdown-toc
078	Markdown Cheat Sheet	مرجع Markdown	markdown-cheatsheet
079	Markdown Linter	فحص Markdown	markdown-linter
080	Markdown Diff	مقارنة Markdown	markdown-diff
🤖 AI Text
#	English	العربية	Slug
081	AI Text Summarizer	تلخيص النص	ai-summarizer
082	AI Paraphraser	إعادة الصياغة	ai-paraphraser
083	AI Grammar Checker	مدقق القواعد	ai-grammar
084	AI Spell Checker	مدقق الإملاء	ai-spell
085	AI Translator	مترجم AI	ai-translator
086	AI Tone Rewriter	تغيير نبرة النص	ai-tone
087	AI Keyword Extractor	استخراج الكلمات المفتاحية	ai-keywords
088	AI Outline Generator	إنشاء Outline	ai-outline
089	AI Bullet Point Generator	تحويل إلى نقاط	ai-bullets
090	AI Title Generator	مولد العناوين	ai-title
🛠 Misc
#	English	العربية	Slug
091	Lorem Ipsum Generator	مولد Lorem Ipsum	lorem
092	Random Text Generator	مولد نصوص	random-text
093	Random Name Generator	مولد أسماء	random-name
094	Random Quote Generator	مولد اقتباسات	random-quote
095	Profanity Filter	فلترة الكلمات المسيئة	profanity-filter
096	Emoji Picker	منتقي الإيموجي	emoji-picker
097	Emoji Remover	حذف الإيموجي	emoji-remover
098	Text Diff Checker	مقارنة النصوص	text-diff
099	Text Toolkit	مجموعة أدوات النصوص	text-toolkit
100	Document Utilities Hub	مركز أدوات النصوص	document-utilities
⭐️ قسم أنصح بإضافته بقوة (غير موجود كاملًا عند المنافسين)

إذا أردت أن يصبح Adawaty مرجعًا فعليًا، فأضف قسمًا باسم:

✍️ Writing Assistant

ويحتوي على:

Email Writer
Resume Writer
Cover Letter Generator
LinkedIn Post Generator
Blog Outline Generator
Blog Intro Generator
Blog Conclusion Generator
Product Description Generator
FAQ Generator
Terms & Conditions Generator
Privacy Policy Generator
Refund Policy Generator
Cookie Policy Generator
YouTube Description Generator
YouTube Tags Generator
Instagram Caption Generator
X (Twitter) Thread Generator
Facebook Post Generator
Press Release Generator
Meeting Minutes Writer

Adawaty Master Tools Database v1.0
Part 14 — Calculators (001–100)

Category: Calculators

🧮 Basic Calculators
#	English	العربية	Slug
001	Basic Calculator	آلة حاسبة عادية	basic-calculator
002	Scientific Calculator	آلة حاسبة علمية	scientific-calculator
003	Programmer Calculator	آلة حاسبة للمبرمجين	programmer-calculator
004	Big Number Calculator	حاسبة الأرقام الكبيرة	big-number-calculator
005	Percentage Calculator	حاسبة النسبة المئوية	percentage-calculator
006	Percentage Change Calculator	حاسبة نسبة التغيير	percentage-change
007	Percentage Difference Calculator	حاسبة فرق النسبة	percentage-difference
008	Discount Calculator	حاسبة الخصومات	discount-calculator
009	Markup Calculator	حاسبة هامش الربح	markup-calculator
010	Margin Calculator	حاسبة Margin	margin-calculator
💰 Finance
#	English	العربية	Slug
011	VAT Calculator	حاسبة ضريبة القيمة المضافة	vat-calculator
012	Sales Tax Calculator	حاسبة الضريبة	sales-tax
013	Profit Calculator	حاسبة الربح	profit-calculator
014	Loss Calculator	حاسبة الخسارة	loss-calculator
015	ROI Calculator	العائد على الاستثمار	roi
016	Investment Calculator	حاسبة الاستثمار	investment
017	Loan Calculator	حاسبة القروض	loan
018	Mortgage Calculator	حاسبة الرهن العقاري	mortgage
019	EMI Calculator	حاسبة الأقساط	emi
020	Currency Calculator	حاسبة العملات	currency-calculator
⏰ Time
#	English	العربية	Slug
021	Age Calculator	حاسبة العمر	age-calculator
022	Date Difference	فرق التاريخ	date-difference
023	Days Between Dates	عدد الأيام	days-between
024	Business Days Calculator	أيام العمل	business-days
025	Week Calculator	عدد الأسابيع	week-calculator
026	Month Calculator	عدد الشهور	month-calculator
027	Year Calculator	عدد السنوات	year-calculator
028	Time Duration Calculator	مدة الوقت	time-duration
029	Time Zone Converter	محول المناطق الزمنية	timezone-calculator
030	Countdown Calculator	حاسبة العد التنازلي	countdown
🏃 Health
#	English	العربية	Slug
031	BMI Calculator	حاسبة BMI	bmi
032	BMR Calculator	حاسبة BMR	bmr
033	TDEE Calculator	حاسبة TDEE	tdee
034	Body Fat Calculator	حاسبة الدهون	body-fat
035	Ideal Weight Calculator	الوزن المثالي	ideal-weight
036	Calorie Calculator	حاسبة السعرات	calorie
037	Protein Calculator	حاسبة البروتين	protein
038	Water Intake Calculator	احتياج المياه	water-intake
039	Macro Calculator	حاسبة الماكروز	macro
040	Pace Calculator	حاسبة الجري	pace
🏠 Home
#	English	العربية	Slug
041	Paint Calculator	كمية الدهان	paint
042	Wallpaper Calculator	كمية ورق الحائط	wallpaper
043	Tile Calculator	كمية البلاط	tile
044	Concrete Calculator	كمية الخرسانة	concrete
045	Brick Calculator	عدد الطوب	brick
046	Flooring Calculator	الأرضيات	flooring
047	Roof Calculator	السقف	roof
048	Fence Calculator	السور	fence
049	Room Area Calculator	مساحة الغرفة	room-area
050	Volume Calculator	الحجم	volume
📚 Education
#	English	العربية	Slug
051	Average Calculator	المتوسط	average
052	GPA Calculator	المعدل التراكمي	gpa
053	Grade Calculator	حساب الدرجات	grade
054	Final Grade Calculator	الدرجة النهائية	final-grade
055	Attendance Calculator	نسبة الحضور	attendance
056	Probability Calculator	الاحتمالات	probability
057	Combination Calculator	التوافيق	combination
058	Permutation Calculator	التباديل	permutation
059	Standard Deviation	الانحراف المعياري	std-dev
060	Mean Median Mode	المتوسط والوسيط والمنوال	mean-median-mode
⚡ Engineering
#	English	العربية	Slug
061	Ohm's Law Calculator	قانون أوم	ohms-law
062	Voltage Divider	مقسم الجهد	voltage-divider
063	Power Calculator	حاسبة القدرة	power
064	Current Calculator	حاسبة التيار	current
065	Resistance Calculator	حاسبة المقاومة	resistance
066	Capacitance Calculator	حاسبة السعة	capacitance
067	Inductance Calculator	حاسبة الحث	inductance
068	Frequency Calculator	حاسبة التردد	frequency
069	Wavelength Calculator	حاسبة الطول الموجي	wavelength
070	Decibel Calculator	حاسبة الديسيبل	decibel
🌍 Web
#	English	العربية	Slug
071	Bandwidth Calculator	حاسبة Bandwidth	bandwidth
072	Download Time Calculator	وقت التحميل	download-time
073	Upload Time Calculator	وقت الرفع	upload-time
074	Storage Calculator	حجم التخزين	storage
075	Image Size Calculator	حجم الصور	image-size
076	Video Size Calculator	حجم الفيديو	video-size
077	Audio Size Calculator	حجم الصوت	audio-size
078	File Size Calculator	حجم الملفات	file-size
079	Bitrate Calculator	حاسبة Bitrate	bitrate
080	Resolution Calculator	حاسبة الدقة	resolution
🛠 Misc
#	English	العربية	Slug
081	Tip Calculator	حاسبة البقشيش	tip
082	Fuel Cost Calculator	تكلفة الوقود	fuel-cost
083	Fuel Consumption	استهلاك الوقود	fuel-consumption
084	Cooking Converter	تحويل مقادير الطبخ	cooking-converter
085	Recipe Scaling Calculator	تكبير وتصغير الوصفات	recipe-scale
086	Pregnancy Calculator	حاسبة الحمل	pregnancy
087	Ovulation Calculator	حاسبة التبويض	ovulation
088	Retirement Calculator	حاسبة التقاعد	retirement
089	Life Expectancy Calculator	متوسط العمر المتوقع	life-expectancy
090	Random Number Generator	مولد أرقام عشوائية	random-number
091	Random Dice Roller	رمي النرد	dice-roller
092	Coin Flip	عملة معدنية	coin-flip
093	Random Wheel Spinner	عجلة عشوائية	wheel-spinner
094	Decision Maker	صانع القرار	decision-maker
095	Lottery Number Generator	مولد أرقام يانصيب	lottery-generator
096	Password Entropy Calculator	Entropy كلمة المرور	password-entropy
097	Hash Rate Calculator	Hash Rate	hashrate
098	Battery Life Calculator	عمر البطارية	battery-life
099	Carbon Footprint Calculator	البصمة الكربونية	carbon-footprint
100	Ultimate Calculator Hub	مركز الآلات الحاسبة	calculator-hub
🚀 ملاحظة مهمة جدًا

بعد مراجعة Calculator.net وOmni Calculator وRapidTables وGigacalculator، أرى أن قسم Calculators وحده يمكن أن يصل إلى:

🏥 Medical: 150+
💰 Finance: 200+
📐 Math: 200+
🏗 Engineering: 150+
🏃 Fitness: 100+
🧪 Chemistry: 80+
⚡ Electrical: 120+
📡 Networking: 60+
🚗 Automotive: 80+
🏠 Construction: 120+
🍳 Cooking: 50+
👶 Pregnancy: 40+
📚 Education: 100+
🌍 Travel: 60+

أي أكثر من 1500 آلة حاسبة إذا أردت منافسة المواقع المتخصصة.

ممتاز. هنبدأ دلوقتي قسم Unit Converters.

وده من أكثر الأقسام اللي عليها بحث شهري ضخم، والمنافسين زيه:

UnitConverters.net
ConvertUnits
RapidTables
CalculatorSoup
Metric-Conversions

لكن كلهم تقريبًا بيقدموا أدوات قديمة. إحنا هنخليها أحدث وأسرع.

Adawaty Master Tools Database v1.0
Part 15 — Unit Converters (001–100)

Category: Unit Converters

📏 Length
#	English	العربية	Slug
001	Length Converter	محول الأطوال	length-converter
002	Millimeter to Inch	مم إلى بوصة	mm-inch
003	Inch to Millimeter	بوصة إلى مم	inch-mm
004	Centimeter to Inch	سم إلى بوصة	cm-inch
005	Inch to Centimeter	بوصة إلى سم	inch-cm
006	Meter to Feet	متر إلى قدم	meter-feet
007	Feet to Meter	قدم إلى متر	feet-meter
008	Kilometer to Mile	كم إلى ميل	km-mile
009	Mile to Kilometer	ميل إلى كم	mile-km
010	Nautical Mile Converter	الميل البحري	nautical-mile
⚖ Weight
#	English	العربية	Slug
011	Weight Converter	محول الأوزان	weight-converter
012	Gram to Ounce	جرام إلى أونصة	gram-ounce
013	Ounce to Gram	أونصة إلى جرام	ounce-gram
014	Kilogram to Pound	كجم إلى رطل	kg-pound
015	Pound to Kilogram	رطل إلى كجم	pound-kg
016	Ton Converter	محول الأطنان	ton-converter
017	Stone Converter	محول Stone	stone-converter
018	Carat Converter	محول القيراط	carat-converter
019	Milligram Converter	محول المليجرام	mg-converter
020	Microgram Converter	محول الميكروجرام	mcg-converter
🌡 Temperature
#	English	العربية	Slug
021	Temperature Converter	محول الحرارة	temperature-converter
022	Celsius to Fahrenheit	مئوي إلى فهرنهايت	celsius-fahrenheit
023	Fahrenheit to Celsius	فهرنهايت إلى مئوي	fahrenheit-celsius
024	Kelvin Converter	محول كلفن	kelvin-converter
025	Rankine Converter	محول رانكن	rankine-converter
026	Reaumur Converter	محول ريومور	reaumur-converter
027	Temperature Difference	فرق درجات الحرارة	temperature-difference
028	Heat Index Calculator	مؤشر الحرارة	heat-index
029	Wind Chill Calculator	الإحساس بالبرودة	wind-chill
030	Dew Point Calculator	نقطة الندى	dew-point
📦 Area
#	English	العربية	Slug
031	Area Converter	محول المساحات	area-converter
032	Square Meter to Square Foot	م² إلى قدم²	sqm-sqft
033	Square Foot to Square Meter	قدم² إلى م²	sqft-sqm
034	Hectare Converter	محول الهكتار	hectare
035	Acre Converter	محول الفدان/الأكر	acre
036	Square Yard Converter	محول ياردة²	sq-yard
037	Square Mile Converter	محول ميل²	sq-mile
038	Dunam Converter	محول الدونم	dunam
039	Feddan Converter	محول الفدان المصري	feddan
040	Land Area Converter	محول الأراضي	land-area
🧊 Volume
#	English	العربية	Slug
041	Volume Converter	محول الأحجام	volume-converter
042	Liter to Gallon	لتر إلى جالون	liter-gallon
043	Gallon to Liter	جالون إلى لتر	gallon-liter
044	Milliliter Converter	محول المليلتر	ml-converter
045	Cubic Meter Converter	محول م³	cubic-meter
046	Cubic Foot Converter	محول قدم³	cubic-foot
047	Cup Converter	محول الأكواب	cup-converter
048	Tablespoon Converter	محول الملاعق	tablespoon
049	Teaspoon Converter	محول ملاعق الشاي	teaspoon
050	Cooking Volume Converter	محول مقادير السوائل	cooking-volume
🚗 Speed
#	English	العربية	Slug
051	Speed Converter	محول السرعة	speed-converter
052	Km/h to MPH	كم/س إلى ميل/س	kmh-mph
053	MPH to Km/h	ميل/س إلى كم/س	mph-kmh
054	Knot Converter	محول العقدة	knot-converter
055	Mach Converter	محول Mach	mach-converter
056	Meters per Second	متر/ثانية	mps
057	Feet per Second	قدم/ثانية	fps
058	Running Pace Converter	محول Pace	pace-converter
059	Cycling Speed Converter	محول سرعة الدراجات	cycling-speed
060	Wind Speed Converter	محول سرعة الرياح	wind-speed
⚡ Energy & Power
#	English	العربية	Slug
061	Energy Converter	محول الطاقة	energy-converter
062	Joule Converter	محول الجول	joule
063	Calorie Converter	محول السعرات	calorie-unit
064	BTU Converter	محول BTU	btu
065	Kilowatt Hour Converter	محول kWh	kwh
066	Power Converter	محول القدرة	power-converter
067	Horsepower Converter	محول Horsepower	horsepower
068	Watt Converter	محول Watt	watt
069	Volt Ampere Converter	محول VA	volt-ampere
070	Energy Cost Calculator	تكلفة الطاقة	energy-cost
💾 Digital
#	English	العربية	Slug
071	Digital Storage Converter	محول أحجام البيانات	digital-storage
072	Bit to Byte	Bit إلى Byte	bit-byte
073	Byte to Bit	Byte إلى Bit	byte-bit
074	KB MB GB TB Converter	KB/MB/GB/TB	storage-units
075	Transfer Speed Converter	سرعة النقل	transfer-speed
076	Bandwidth Converter	محول Bandwidth	bandwidth-converter
077	Data Rate Converter	محول Data Rate	data-rate
078	Binary Prefix Converter	محول KiB/MiB	binary-prefix
079	Decimal Prefix Converter	محول KB/MB	decimal-prefix
080	Disk Size Calculator	حجم الأقراص	disk-size
🔬 Scientific
#	English	العربية	Slug
081	Pressure Converter	محول الضغط	pressure-converter
082	Force Converter	محول القوة	force-converter
083	Torque Converter	محول العزم	torque-converter
084	Density Converter	محول الكثافة	density-converter
085	Viscosity Converter	محول اللزوجة	viscosity-converter
086	Frequency Converter	محول التردد	frequency-converter
087	Radiation Converter	محول الإشعاع	radiation-converter
088	Magnetic Field Converter	محول المجال المغناطيسي	magnetic-field
089	Luminance Converter	محول الإضاءة	luminance-converter
090	Fuel Economy Converter	محول استهلاك الوقود	fuel-economy
🛠 Misc
#	English	العربية	Slug
091	Shoe Size Converter	مقاسات الأحذية	shoe-size
092	Ring Size Converter	مقاسات الخواتم	ring-size
093	Clothing Size Converter	مقاسات الملابس	clothing-size
094	Paper Size Converter	مقاسات الورق	paper-size
095	Screen Size Converter	مقاسات الشاشات	screen-size
096	Pixel Density Calculator	حاسبة PPI	ppi-calculator
097	Aspect Ratio Converter	محول Aspect Ratio	aspect-ratio-converter
098	Time Zone Converter	محول المناطق الزمنية	timezone-converter
099	Universal Unit Converter	محول شامل	universal-unit-converter
100	Conversion Toolkit	مجموعة أدوات التحويل	conversion-toolkit
⭐️ قسم أنصح بإضافته بالكامل

بعد مراجعة المنافسين، أرى أن هناك قسمًا لا يقدمه أحد بشكل متكامل، وهو:

📱 Device Converters
iPhone Screen Sizes
Android Screen Sizes
CSS px ↔ rem
px ↔ em
px ↔ vh
px ↔ vw
DPI ↔ PPI
CSS Unit Converter
Tailwind Spacing Converter
Bootstrap Breakpoint Converter
Figma px ↔ CSS
Flutter dp ↔ px
Android dp ↔ px
iOS pt ↔ px

هذا القسم سيجذب المطورين والمصممين، وهو شبه غائب في مواقع التحويل التقليدية.


قسم أعتبره من أعلى الأقسام في معدل الزيارات والـ RPM الإعلاني، وهو:

📱 Social Media Tools

وده قسم أغلب المواقع بتقدمه بشكل ضعيف، بينما عليه بحث ضخم جدًا، خاصة مع YouTube وTikTok وInstagram.

المنافسون:

Buffer
Hootsuite (بعض الأدوات)
Canva
Kapwing
VEED
Adobe Express
TinyWow
Remove.bg
Thumbsup
TubeBuddy (جزئيًا)
VidIQ (جزئيًا)
Adawaty Master Tools Database v1.0
Part 16 — Social Media Tools (001–100)

Category: Social Media

▶️ YouTube
#	English	العربية	Slug
001	YouTube Thumbnail Downloader	تحميل صورة الفيديو	youtube-thumbnail-downloader
002	YouTube Thumbnail Viewer	عرض صورة الفيديو	youtube-thumbnail-viewer
003	YouTube Thumbnail Generator	إنشاء Thumbnail	youtube-thumbnail-generator
004	YouTube Banner Maker	إنشاء Banner	youtube-banner-maker
005	YouTube Intro Maker	إنشاء Intro	youtube-intro-maker
006	YouTube Outro Maker	إنشاء Outro	youtube-outro-maker
007	YouTube End Screen Maker	إنشاء End Screen	youtube-end-screen
